Hora de comienzo,Duración,Tipo,ID,FrecuenciaMHz,Ubicación de inicio,Última posición,Sensor,lat_inicio,lon_inicio,azimut_inicio,distancia_inicio_m,lat_ultima,lon_ultima,azimut_ultima,distancia_ultima_m,fecha,hora,repeticiones_id,id_repetido,mapeable
16-09-2025 13:46,0:01:44,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2444,"-70.66049, -33.46243 | 190°, 34m","-70.66023, -33.46306 | 170°, 105m",100,-33.46243,-70.66049,190.0,34.0,-33.46306,-70.66023,170.0,105.0,2025-09-16,13:46,12,SI,SI
16-09-2025 13:44,0:01:00,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2444,"-70.66049, -33.46243 | 189°, 38m","-70.66036, -33.46304 | 176°, 105m",100,-33.46243,-70.66049,189.0,38.0,-33.46304,-70.66036,176.0,105.0,2025-09-16,13:44,12,SI,SI
16-09-2025 13:36,0:01:58,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2444,"-70.66050, -33.46244 | 183°, 31m","-70.66051, -33.46245 | 185°, 32m",100,-33.46244,-70.6605,183.0,31.0,-33.46245,-70.66051,185.0,32.0,2025-09-16,13:36,12,SI,SI
16-09-2025 13:34,0:01:06,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2429,"-70.66030, -33.46319 | 171°, 115m","-70.66030, -33.46319 | 171°, 115m",100,-33.46319,-70.6603,171.0,115.0,-33.46319,-70.6603,171.0,115.0,2025-09-16,13:34,12,SI,SI
16-09-2025 13:31,0:02:26,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2414,"-70.66050, -33.46244 | 173°, 30m","-70.66030, -33.46319 | 171°, 114m",100,-33.46244,-70.6605,173.0,30.0,-33.46319,-70.6603,171.0,114.0,2025-09-16,13:31,12,SI,SI
16-09-2025 13:25,0:04:35,DJI Phantom4ProV2,11VKK4T00200HZ_DJI Phantom4ProV2,2459,"-70.66050, -33.46242 | 81°, 4m","-70.66030, -33.46319 | 164°, 88m",100,-33.46242,-70.6605,81.0,4.0,-33.46319,-70.6603,164.0,88.0,2025-09-16,13:25,12,SI,SI
16-09-2025 13:06,0:16:15,DJI M30,1581F5BKD22C200CV4MS_DJI M30,2444,"-70.66096, -33.46196 | 194°, 126m","-70.66096, -33.46196 | 296°, 49m",100,-33.46196,-70.66096,194.0,126.0,-33.46196,-70.66096,296.0,49.0,2025-09-16,13:06,16,SI,SI
16-09-2025 13:06,0:00:30,DJI Mavic(O4),60601f08c9dc_DJI Mavic(O4),2429,,,100,,,,,,,,,2025-09-16,13:06,1,NO,NO
16-09-2025 12:34,0:14:47,DJI MavicPro,08RDE370010096_DJI MavicPro,2459,"-70.66046, -33.46306 | 247°, 63m","-70.66046, -33.46319 | 236°, 70m",100,-33.46306,-70.66046,247.0,63.0,-33.46319,-70.66046,236.0,70.0,2025-09-16,12:34,5,SI,SI
16-09-2025 12:26,0:00:30,DJI M30,1581F5BKD235F00DV982_DJI M30,5756,"-70.67039, -33.47587 | 214°, 1752m","-70.67039, -33.47587 | 214°, 1752m",100,-33.47587,-70.67039,214.0,1752.0,-33.47587,-70.67039,214.0,1752.0,2025-09-16,12:26,4,SI,SI
16-09-2025 12:21,0:01:35,DJI M30,1581F5BKD235F00DV982_DJI M30,5756,"-70.67084, -33.47771 | 211°, 1950m","-70.67084, -33.47771 | 211°, 1948m",100,-33.47771,-70.67084,211.0,1950.0,-33.47771,-70.67084,211.0,1948.0,2025-09-16,12:21,4,SI,SI
16-09-2025 12:15,0:00:29,DJI M30,1581F5BKD235F00DV982_DJI M30,5816,"-70.66064, -33.47639 | 182°, 1512m","-70.66064, -33.47639 | 182°, 1512m",100,-33.47639,-70.66064,182.0,1512.0,-33.47639,-70.66064,182.0,1512.0,2025-09-16,12:15,4,SI,SI
16-09-2025 12:12,0:00:29,DJI M30,1581F5BKD235F00DV982_DJI M30,5756,"-70.65820, -33.47512 | 173°, 1374m","-70.65820, -33.47512 | 173°, 1374m",100,-33.47512,-70.6582,173.0,1374.0,-33.47512,-70.6582,173.0,1374.0,2025-09-16,12:12,4,SI,SI
16-09-2025 12:08,0:09:01,DJI MavicPro,08RDE370010096_DJI MavicPro,2429,"-70.66046, -33.46307 | 190°, 244m","-70.66043, -33.46310 | 240°, 59m",100,-33.46307,-70.66046,190.0,244.0,-33.4631,-70.66043,240.0,59.0,2025-09-16,12:08,5,SI,SI
